step,phase,cuda_sec,sync_start_sec,sync_stop_sec,sync_total_sec,nvml_mem_sec,nvml_util_sec,psutil_sec
9,backward,0.02391052432358265,3.62936407327652e-05,0.15681272186338902,0.15684901550412178,9.737163782119751e-05,0.0,0.0
9,optimizer,0.0013249237090349197,2.871081233024597e-05,0.0012479815632104874,0.0012766923755407333,2.4612993001937866e-05,0.0005276389420032501,0.0004803203046321869
10,forward,0.012086387723684311,3.5939738154411316e-05,0.07213014364242554,0.07216608338057995,9.478256106376648e-05,0.0,0.0
10,backward,0.027505185455083847,2.8252601623535156e-05,0.15346360579133034,0.15349185839295387,9.869970381259918e-05,0.0,0.0
10,optimizer,0.001304110512137413,2.9511749744415283e-05,0.0012473613023757935,0.0012768730521202087,2.6850029826164246e-05,0.0008107628673315048,0.00047798827290534973
11,forward,0.012234656140208244,4.768185317516327e-05,0.07209847494959831,0.07214615680277348,9.737163782119751e-05,0.0,0.0
11,backward,0.02836100570857525,2.8392300009727478e-05,0.15268279053270817,0.1527111828327179,9.801983833312988e-05,0.0,0.0
11,optimizer,0.0013096034526824951,2.714991569519043e-05,0.0012524500489234924,0.0012795999646186829,2.5581568479537964e-05,0.0004597380757331848,0.00048312731087207794
12,forward,0.012015372514724731,3.8368627429008484e-05,0.07223846763372421,0.07227683626115322,9.569898247718811e-05,0.0,0.0
12,backward,0.02760043740272522,2.7723610401153564e-05,0.15339387580752373,0.15342159941792488,9.715184569358826e-05,0.0,0.0
12,optimizer,0.0013159606605768204,2.7369707822799683e-05,0.001253712922334671,0.0012810826301574707,2.7218833565711975e-05,0.0008040051907300949,0.0004832576960325241
13,forward,0.012823948636651039,4.8762187361717224e-05,0.07152316346764565,0.07157192565500736,0.00012024305760860443,0.0,0.0
13,backward,0.017835961654782295,3.418140113353729e-05,0.16304734908044338,0.16308153048157692,9.918212890625e-05,0.0,0.0
13,optimizer,0.0014093425124883652,2.736225724220276e-05,0.0012559518218040466,0.0012833140790462494,2.6149675250053406e-05,0.0008944347500801086,0.0005287975072860718
14,forward,0.011937679722905159,3.710202872753143e-05,0.07217864692211151,0.07221574895083904,9.444169700145721e-05,0.0,0.0
14,backward,0.01296750083565712,2.7818605303764343e-05,0.1676179263740778,0.16764574497938156,0.00010585226118564606,0.0,0.0
14,optimizer,0.0014031939208507538,6.332993507385254e-05,0.0012385603040456772,0.0013018902391195297,2.383999526500702e-05,0.0005093999207019806,0.0005146581679582596
15,forward,0.012070219963788986,3.5371631383895874e-05,0.07211481221020222,0.07215018384158611,9.788013994693756e-05,0.0,0.0
