step,wall_timestamp,phase,duration_sec,gpu_mem_mb,nvml_mem_query_sec,nvml_util_query_sec,psutil_query_sec,gpu_util_pct,cpu_util_pct,ram_mb
8,1775663102.4506998,optimizer,0.002578631043434143,7523.25,2.4529173970222473e-05,0.0009557045996189117,0.0004741288721561432,59.0,0.8,20496.078125
9,1775663102.5570347,forward,0.03588020242750645,7523.25,8.572079241275787e-05,0.0,0.0,,,
9,1775663102.6381986,backward,0.08102121204137802,7523.25,9.034015238285065e-05,0.0,0.0,,,
9,1775663102.6418488,optimizer,0.0025909021496772766,7523.25,2.5330111384391785e-05,0.0004889480769634247,0.00047972798347473145,59.0,0.9,20496.5703125
10,1775663102.7426982,forward,0.03586283326148987,7523.25,9.093992412090302e-05,0.0,0.0,,,
10,1775663102.824225,backward,0.08138439618051052,7523.25,9.097345173358917e-05,0.0,0.0,,,
10,1775663102.8285236,optimizer,0.0027680546045303345,7523.25,2.793222665786743e-05,0.0009371060878038406,0.00046771764755249023,59.0,0.9,20496.5703125
11,1775663102.9421191,forward,0.03601522371172905,7523.25,8.8471919298172e-05,0.0,0.0,,,
11,1775663103.0236168,backward,0.08135038428008556,7523.25,9.402073919773102e-05,0.0,0.0,,,
11,1775663103.0276341,optimizer,0.0025734510272741318,7523.25,2.4279579520225525e-05,0.0008724238723516464,0.0004765782505273819,59.0,0.9,20496.5703125
12,1775663103.1289794,forward,0.03592039458453655,7523.25,8.795224130153656e-05,0.0,0.0,,,
12,1775663103.210321,backward,0.08119341544806957,7523.25,9.473226964473724e-05,0.0,0.0,,,
12,1775663103.2139463,optimizer,0.002546248957514763,7523.25,2.5840476155281067e-05,0.0004983488470315933,0.0004839189350605011,59.0,0.8,20496.5703125
13,1775663103.315271,forward,0.035891154780983925,7523.25,8.703954517841339e-05,0.0,0.0,,,
13,1775663103.3963635,backward,0.08094941265881062,7523.25,9.210966527462006e-05,0.0,0.0,,,
13,1775663103.400011,optimizer,0.0025826115161180496,7523.25,2.382136881351471e-05,0.0005004573613405228,0.00046915560960769653,60.0,0.8,20497.0625
14,1775663103.504108,forward,0.035858772695064545,7523.25,8.977018296718597e-05,0.0,0.0,,,
14,1775663103.585738,backward,0.08148401603102684,7523.25,9.342283010482788e-05,0.0,0.0,,,
14,1775663103.5898032,optimizer,0.002554759383201599,7523.25,2.4439767003059387e-05,0.0009047240018844604,0.0005128178745508194,64.0,0.9,20477.24609375
15,1775663103.6985576,forward,0.03586729057133198,7523.25,8.903071284294128e-05,0.0,0.0,,,
15,1775663103.7799819,backward,0.08125603571534157,7523.25,0.00011131912469863892,0.0,0.0,,,
15,1775663103.7845485,optimizer,0.0027235224843025208,7523.25,2.45608389377594e-05,0.0011676084250211716,0.0005317907780408859,62.0,0.8,20477.24609375
16,1775663103.8886957,forward,0.035960083827376366,7523.25,8.6221843957901e-05,0.0,0.0,,,
16,1775663103.9701145,backward,0.08128162287175655,7523.25,8.573196828365326e-05,0.0,0.0,,,
16,1775663103.9737568,optimizer,0.002571381628513336,7523.25,2.647005021572113e-05,0.0005021877586841583,0.00047113746404647827,64.0,0.9,20491.02734375
17,1775663104.0761552,forward,0.03585529141128063,7523.25,8.741021156311035e-05,0.0,0.0,,,
17,1775663104.1572568,backward,0.08095859177410603,7523.25,9.18116420507431e-05,0.0,0.0,,,
